id,title,category,in_degree,out_degree
71,Effective Communications: A Joint Learning and Communication Framework for Multi-Agent Reinforcement Learning over Noisy Channels,marl,1,0
72,Robust Multi-Agent Reinforcement Learning with Social Empowerment for Coordination and Communication,robust_marl,3,1
73,Byzantine Robust Cooperative Multi-Agent Reinforcement Learning as a Bayesian Game,robust_marl,7,7
74,Bayesian Robust Cooperative Multi-Agent Reinforcement Learning Against Unknown Adversaries,robust_marl,0,7
75,IBGP: Imperfect Byzantine Generals Problem for Zero-Shot Robustness in Communicative Multi-Agent Systems,robust_marl,1,3
76,Learning Robust Multi-Agent Policies via Selective Adversarial Fault Induction,robust_marl,0,4
77,Towards Fault Tolerance in Multi-Agent Reinforcement Learning,robust_marl,1,2
78,Fully Byzantine-Resilient Distributed Multi-Agent Q-Learning,robust_marl,0,0
79,Decentralized Byzantine-Resilient Multi-Agent Reinforcement Learning with Reward Machines in Temporally Extended Tasks,robust_marl,0,5
80,Trust-Based Information Filtering for Robust Decentralized Execution of Pre-Trained MARL Policies in UAV Swarms,robust_marl,0,1
82,Trust-MARL: Trust-Based Multi-Agent Reinforcement Learning Framework for Cooperative On-Ramp Merging Control in Heterogeneous Traffic Flow,marl,1,0
83,Modeling Trust and Deception in Multi-Agent Reinforcement Learning Using the Werewolf Game,marl,0,0
84,Unsupervised Partner Design Enables Robust Ad-hoc Teamwork,other,0,0
85,Resilient Multi-Agent Reinforcement Learning with Adversarial Value Decomposition,robust_marl,10,1
86,Robust Multi-Agent Bandits Over Undirected Graphs,robust_marl,5,0
87,Evo-MARL: Co-Evolutionary Multi-Agent Reinforcement Learning for Internalized Safety,robust_marl,1,0
88,AdvEvo-MARL: Shaping Internalized Safety Through Adversarial Co-Evolution in Multi-Agent Reinforcement Learning,robust_marl,0,1
89,Safe Multi-agent Reinforcement Learning with Natural Language Constraints,robust_marl,2,0
90,Collaborative Communication for Edge LLM Servicing in Adversarial Networks: An MARL-Empowered Stackelberg Game Approach,robust_marl,0,0
91,LLM-based Multi-Agent Reinforcement Learning: Current and Future Directions,marl,1,0
92,Partial Action Replacement: Tackling Distribution Shift in Offline MARL,marl,0,1
93,Sample Efficient Robust Offline Self-Play for Model-Based Reinforcement Learning,robust_rl,1,4
94,Robust-Gymnasium: A Unified Modular Benchmark for Robust Reinforcement Learning,robust_rl,1,4
95,StarCraft+: Benchmarking Multi-agent Algorithms in Adversary Paradigm,robust_marl,0,1
96,Measuring the Robustness of Multi-Agent Reinforcement Learning Systems under Partial Agent Failure,robust_marl,0,4
97,Empirical Study on Robustness and Resilience in Cooperative Multi-Agent Reinforcement Learning,robust_marl,0,12
98,Robustness Testing for Multi-Agent Reinforcement Learning: State Perturbations on Critical Agents,robust_marl,14,5
99,Towards Comprehensive Testing on the Robustness of Cooperative Multi-agent Reinforcement Learning,robust_marl,13,1
100,SMACv2: An Improved Benchmark for Cooperative Multi-Agent Reinforcement Learning,marl,4,0
101,MATE: Benchmarking Multi-Agent Reinforcement Learning in Distributed Target Coverage Control,marl,0,0
102,Mava: a research library for distributed multi-agent reinforcement learning in JAX,marl,0,0
103,A Pilot Study of Observation Poisoning on Selective Reincarnation in Multi-Agent Reinforcement Learning,robust_marl,0,4
104,Multi-Agent Reinforcement Learning for Traffic Signal Control: Algorithms and Robustness Analysis,robust_marl,0,0
105,Evaluating the Robustness of Deep Reinforcement Learning for Autonomous Policies in a Multi-Agent Urban Driving Environment,robust_marl,0,0
106,Safety Guaranteed Robust Multi-Agent Reinforcement Learning with Hierarchical Control for Connected and Automated Vehicles (Safe-RMM),robust_marl,1,3
107,Robust and Safe Multi-Agent Reinforcement Learning with Communication for Autonomous Vehicles: From Simulation to Hardware (RSR-RSMARL),robust_marl,0,3
108,5G-enabled Safe and Robust Deep Multi-agent Reinforcement Learning Framework for CAV Coordination,robust_marl,0,1
110,Robust Multi-Agent Reinforcement Learning Against Adversarial Attacks for Cooperative Self-Driving Vehicles,robust_marl,0,2
111,Transferring Multi-Agent Reinforcement Learning Policies for Autonomous Driving using Sim-to-Real,marl,2,1
113,Distributed Robust Dispatch for Networked Microgrids With Coalition Game-Guided Multiagent Adversarial Safe Reinforcement Learning,robust_marl,0,0
114,Robust Voltage Control for Active Distribution Networks via Safe Deep Reinforcement Learning Against State Perturbations,robust_rl,0,2
115,Graph Neural Network-Based Multi-Agent Reinforcement Learning for Active Voltage Control: Performance and Topology Robustness,robust_marl,0,0
116,Uncertainty-Aware Knowledge Transformers for Peer-to-Peer Energy Trading with Multi-Agent Reinforcement Learning,robust_marl,0,0
117,Combating Uncertainties in Smart Grid Decision Networks: Multiagent Reinforcement Learning With Imperfect State Information,robust_marl,0,4
