count,candidate_title,year,arxiv,in_xlsx,xlsx_no,xlsx_title,xlsx_processed,set_score,sort_score,citing_papers
1,Adaptive fault-tolerant tracking control for discrete-time multiagent systems via reinforcement learning algorithm,2021,,no,76,Fault-Tolerant MA Learning w/ Adversarial Budget Constraints,True,56.6,50.9,135
1,Byzantine- resilient multiagent distributed optimization under redundancy,2025,,no,78,Fully Byzantine-Resilient Distributed MA Q-Learning,True,75.6,65.0,78
1,Distributed resilience-aware control in multi-robot networks,2025,,no,134,Robust Control of Water Distribution Networks (MA Curriculum),False,63.9,60.5,78
1,Towards a fault-tolerant multi-agent system architecture,2000,,no,77,Towards Fault Tolerance in MARL,True,62.1,57.5,77
1,Distributed robust optimization for multi-agent systems with guaranteed finite-time convergence,2023,2309.01201,no,26,Robust Multi-agent Counterfactual Prediction,True,58.1,53.4,126
1,"N., Shah, A., Carroll, M., Seshia, S., Russell, S. J., and Dennis, M. Robust and diverse multi-agent learning via rational policy gradient",2026,,no,131,ROMUC: Robust Policy Learning for Multi-USV Cooperative Tasks,True,63.6,54.4,13
1,Adaptive frequency and delay compen- sation in multi-agent systems: Enhancing communication efficiency and robustness,2024,,no,67,Robust and Efficient Communication in MARL,True,64.5,50.6,67
1,A survey on fault tolerant multi agent system,2016,,no,35,Fault-Tolerant MARL for CAVs under Observation Perturbations,True,55.2,51.9,77
1,On the hard- ness of decentralized multi-agent policy evaluation under byzantine attacks,2024,,no,15,Multi-Agent Robust Policy Evaluation via Primal-Dual Online Time-Averaging,True,60.9,55.9,78
1,Adversarial policy gradient for alternating markov games,2014,,no,58,Adversarial DRL for Robust MA Autonomous Driving Policies,True,60.2,60.2,43
1,Large-scale mean-field federated learning for detection and defense: A byzantine robustness approach in IoT,2024,,no,75,IBGP: Imperfect Byzantine Generals for Zero-Shot Robustness,True,58.5,53.6,142
1,Fault-tolerant consensus of leader-following multi-agent systems with jointly connected topologies,2023,,no,4,Taming the Curses of Multiagency … Linear Function Approximation,True,48.8,47.6,77
1,Byzantine-resilient multiagent optimization,2021,,no,78,Fully Byzantine-Resilient Distributed MA Q-Learning,True,61.3,57.4,78
1,Learn- ing markov games with adversarial opponents: Effi- cient algorithms and fundamental limits,2022,2203.06803,no,14,Robust Mean-Field Games with Risk Aversion and Bounded Rationality,True,55.0,53.4,20
1,Fault-tolerant cooperative control of multiagent systems: A survey of trends and methodologies,2020,,no,59,On the Robustness of Cooperative MARL,True,54.9,49.7,77
1,Data poisoning to fake a nash equilibria for markov games,2024,,no,8,Distributionally Robust Online Markov Game w/ Linear Func Approx,True,53.3,50.0,3
1,Resilient dis- tributed optimization for multiagent cyberphysical systems,2025,,no,145,Hierarchical Adversarially-Resilient MARL for CPS Security,True,52.3,52.3,78
